lemma,part_of_speech,synonyms
absorbing,verb,absorb|absorb;assimilate;ingest;take in|absorb;take over|absorb;suck;imbibe;soak up;sop up;suck up;draw;take in;take up|absorb|absorb;take in|steep;immerse;engulf;plunge;engross;absorb;soak up|absorb|absorb;engross;engage;occupy
absorbing,satellite,engrossing;fascinating;gripping;riveting
absorptive,adjective,absorbent
abstemious,satellite,light
abstentious,satellite,abstinent
abstinent,noun,abstainer;nondrinker
abstinent,satellite,abstentious
abstract,noun,abstraction|outline;synopsis;precis
abstract,verb,pilfer;cabbage;purloin;pinch;snarf;swipe;hook;sneak;filch;nobble;lift
abstract,satellite,abstractionist;nonfigurative;nonobjective
abstracted,verb,abstract|pilfer;cabbage;purloin;pinch;abstract;snarf;swipe;hook;sneak;filch;nobble;lift|abstract|abstract
abstracted,satellite,absent;absentminded;scatty
abstractionist,noun,abstract artist
abstractionist,satellite,abstract;nonfigurative;nonobjective
abstruse,satellite,deep;recondite
absurd,noun,the absurd
absurd,satellite,cockeyed;derisory;idiotic;laughable;ludicrous;nonsensical;preposterous;ridiculous
abulic,satellite,aboulic
abused,verb,mistreat;maltreat;abuse;ill-use;step;ill-treat|pervert;misuse;abuse|abuse;clapperclaw;blackguard;shout|abuse
abused,adjective,ill-treated;maltreated;mistreated
abusive,satellite,opprobrious;scurrilous
abuzz,satellite,buzzing
abysmal,satellite,abyssal;unfathomable
abyssal,satellite,abysmal;unfathomable
academic,noun,academician;faculty member
academic,satellite,donnish;pedantic
acanthoid,satellite,acanthous;spinous
acanthous,satellite,acanthoid;spinous
acapnial,adjective,acapnic;acapnotic
acapnic,adjective,acapnial;acapnotic
acapnotic,adjective,acapnic;acapnial
acarpellous,adjective,acarpelous
acarpelous,adjective,acarpellous
acaudal,adjective,acaudate
acaudate,adjective,acaudal
acaulescent,adjective,stemless
accelerated,verb,accelerate;speed up;speed;quicken|accelerate;speed;speed up
accelerative,satellite,acceleratory
acceleratory,satellite,accelerative
accented,verb,stress;emphasize;emphasise;punctuate;accent;accentuate|stress;accent;accentuate
accented,adjective,tonic|stressed
acceptable,satellite,satisfactory
acceptant,satellite,acceptive
accepted,verb,accept|accept;take;have|accept;consent;go for|accept|accept;admit;take;take on|bear;take over;accept;assume|accept;live with;swallow|accept;take|accept|take;accept|accept
accepted,satellite,recognized;recognised
accepting,verb,accept|accept;take;have|accept;consent;go for|accept|accept;admit;take;take on|bear;take over;accept;assume|accept;live with;swallow|accept;take|accept|take;accept|accept
acceptive,satellite,acceptant
accessary,noun,accessory
accessary,satellite,accessory
accessible,satellite,approachable
accessory,noun,accoutrement;accouterment|appurtenance;supplement;add-on|accessary
accessory,satellite,accessary|adjunct;ancillary;adjuvant;appurtenant;auxiliary
accidental,satellite,inadvertent
acclivitous,satellite,rising;uphill
accommodating,verb,suit;accommodate;fit|adapt;accommodate|accommodate|accommodate;hold;admit|lodge;accommodate|oblige;accommodate|accommodate;reconcile;conciliate
accommodating,adjective,accommodative
accommodative,adjective,accommodating
accommodative,satellite,cooperative|reconciling
accompanied,verb,attach to;accompany;come with;go with|accompany|play along;accompany;follow|company;companion;accompany;keep company
accompanied,adjective,attended
accompanying,verb,attach to;accompany;come with;go with|accompany|play along;accompany;follow|company;companion;accompany;keep company
accompanying,satellite,attendant;consequent;concomitant;incidental;ensuant;resultant;sequent
accomplishable,satellite,achievable;doable;manageable;realizable
accomplished,verb,carry through;accomplish;execute;carry out;action;fulfill;fulfil|achieve;accomplish;attain;reach
accomplished,satellite,complete|completed;realized;realised|effected;established
accordant,satellite,agreeable;conformable;consonant;concordant
according,verb,harmonize;harmonise;consort;accord;concord;fit in;agree|accord;allot;grant
accoutered,verb,accouter;accoutre
accoutered,satellite,accoutred
accoutred,verb,accouter;accoutre
accoutred,satellite,accoutered
accredited,verb,accredit;recognize;recognise|accredit|accredit;credit
accredited,satellite,commissioned;licensed;licenced
accrued,verb,accrue|accrue;fall
accrued,satellite,accumulated
acculturational,adjective,acculturative
acculturative,adjective,acculturational
accumbent,satellite,decumbent;recumbent
accumulated,verb,roll up;collect;accumulate;pile up;amass;compile;hoard|accumulate;cumulate;conglomerate;pile up;gather;amass
accumulated,satellite,accrued
accumulative,satellite,cumulative
accurate,satellite,exact;precise
accursed,verb,accurse;execrate;anathemize;comminate;anathemise;anathematize;anathematise
accursed,satellite,accurst;maledict
accurst,satellite,accursed;maledict
accusative,noun,accusative case;objective case
accusative,satellite,accusatory;accusing;accusive
accusative,adjective,objective
accusatory,satellite,accusative;accusing;accusive
accusing,verb,accuse;impeach;incriminate;criminate|charge;accuse
accusing,satellite,accusative;accusatory;accusive
accusive,satellite,accusative;accusatory;accusing
accustomed,verb,habituate;accustom
accustomed,satellite,customary;habitual;wonted
ace,noun,one;1;I;single;unity|adept;champion;sensation;maven;mavin;virtuoso;genius;hotshot;star;superstar;whiz;whizz;wizard;wiz|angiotensin converting enzyme;angiotensin-converting enzyme;ACE|Allied Command Europe;ACE
ace,verb,breeze through;pass with flying colors;sweep through;sail through;nail
ace,satellite,A-one;crack;first-rate;super;tiptop;topnotch;top-notch;tops
acellular,adjective,noncellular
acerate,satellite,acerose;acicular;needle-shaped
acerb,satellite,acerbic;astringent|acerbic;acid;acrid;bitter;blistering;caustic;sulfurous;sulphurous;virulent;vitriolic
acerbic,satellite,acerb;astringent|acerb;acid;acrid;bitter;blistering;caustic;sulfurous;sulphurous;virulent;vitriolic
acerose,satellite,acerate;acicular;needle-shaped
acetabular,satellite,cotyloid;cotyloidal
acetose,satellite,acetous;vinegary;vinegarish
acetous,satellite,acetose;vinegary;vinegarish
achaean,noun,Achaean;Achaian|Achaean;Arcado-Cyprians
achaean,adjective,Achaean
acheronian,satellite,Acheronian;Acherontic;Stygian
acherontic,satellite,Acheronian;Acherontic;Stygian
achievable,satellite,accomplishable;doable;manageable;realizable
aching,noun,ache
aching,verb,hurt;ache;suffer|ache;yearn;yen;pine;languish|ache;smart;hurt
aching,satellite,achy
achromatic,adjective,neutral
achromic,satellite,achromous
achromous,satellite,achromic
achy,satellite,aching
acicular,satellite,acerate;acerose;needle-shaped
acid,noun,back breaker;battery-acid;dose;dot;Elvis;loony toons;Lucy in the sky with diamonds;pane;superman;window pane;Zen
acid,satellite,acerb;acerbic;acrid;bitter;blistering;caustic;sulfurous;sulphurous;virulent;vitriolic|acidic;acidulent;acidulous
acid-tasting,satellite,sour-tasting
acidic,satellite,acid;acidulent;acidulous
acidophilic,satellite,acidophilous;aciduric
acidophilous,satellite,acidophilic;aciduric
acidulent,satellite,acidic;acid;acidulous
acidulous,satellite,acidic;acid;acidulent
aciduric,satellite,acidophilic;acidophilous
acinar,adjective,acinous;acinose;acinic
acinic,adjective,acinar;acinous;acinose
acinose,adjective,acinar;acinous;acinic
acinous,adjective,acinar;acinose;acinic
acknowledged,verb,admit;acknowledge|acknowledge;receipt|notice;acknowledge|acknowledge;recognize;recognise|acknowledge|acknowledge;recognize;recognise;know
acned,satellite,pimpled;pimply;pustulate
acoustic,adjective,acoustical
acoustical,adjective,acoustic
acquainted,verb,introduce;present;acquaint|familiarize;familiarise;acquaint|acquaint
acquiescent,satellite,biddable
acquired,verb,get;acquire|assume;acquire;adopt;take on;take|grow;develop;produce;get;acquire|acquire|acquire;win;gain|learn;larn;acquire|develop;acquire;evolve
acquitted,verb,acquit;assoil;clear;discharge;exonerate;exculpate|behave;acquit;bear;deport;conduct;comport;carry
acquitted,satellite,not guilty
acrid,satellite,pungent|acerb;acerbic;acid;bitter;blistering;caustic;sulfurous;sulphurous;virulent;vitriolic
acrimonious,satellite,bitter
acrobatic,satellite,athletic;gymnastic
acrogenic,adjective,acrogenous
acrogenous,adjective,acrogenic
acronymic,adjective,acronymous
acronymous,adjective,acronymic
across-the-board,satellite,all-embracing;all-encompassing;all-inclusive;blanket;broad;encompassing;extensive;panoptic;wide
acting,noun,playing;playacting;performing
acting,verb,act;move|act;behave;do|act;play;represent|act|act;play;act as|act|work;act|act|dissemble;pretend;act|act;play;roleplay;playact
actinoid,noun,actinide;actinon
actinometric,adjective,actinometrical
actinometrical,adjective,actinometric
actinomorphic,adjective,actinomorphous
actinomorphous,adjective,actinomorphic
actinomycetal,adjective,actinomycetous
actinomycetous,adjective,actinomycetal
activated,verb,trip;actuate;trigger;activate;set off;spark off;spark;trigger off;touch off|activate|activate|activate;aerate|activate
activated,satellite,excited
activating,noun,energizing;activation
activating,verb,trip;actuate;trigger;activate;set off;spark off;spark;trigger off;touch off|activate|activate|activate;aerate|activate
activating,satellite,actuating
active,noun,active agent|active voice
active,satellite,combat-ready;fighting|participating|alive
active,adjective,dynamic
activist,noun,militant
activist,satellite,activistic
activistic,satellite,activist
actual,adjective,existent
actual,satellite,genuine;literal;real|factual
actuated,verb,trip;actuate;trigger;activate;set off;spark off;spark;trigger off;touch off|motivate;actuate;propel;move;prompt;incite
actuating,verb,trip;actuate;trigger;activate;set off;spark off;spark;trigger off;touch off|motivate;actuate;propel;move;prompt;incite
actuating,satellite,activating
acuate,satellite,acute;sharp;needlelike
aculeate,adjective,aculeated
aculeated,adjective,aculeate
acute,noun,acute accent;ague
acute,satellite,intense|discriminating;incisive;keen;knifelike;penetrating;penetrative;piercing;sharp|acuate;sharp;needlelike
acyclic,adjective,open-chain
ad-lib,verb,improvise;improvize;extemporize;extemporise
ad-lib,satellite,extemporaneous;extemporary;extempore;impromptu;offhand;offhanded;off-the-cuff;unrehearsed|spontaneous;unwritten
adamant,noun,diamond
adamant,satellite,adamantine;inexorable;intransigent
adamantine,satellite,adamant;inexorable;intransigent
adaptative,adjective,adaptive
adapted,verb,adapt;accommodate|adjust;conform;adapt
adapted,satellite,altered
adaptive,adjective,adaptative
